side_effect,query,drug,label
bradycardia,Which drugs cause bradycardia?,sitagliptin,NO
bradycardia,What medications lead to bradycardia?,prednisone,YES
bradycardia,What medications lead to bradycardia?,tinidazole,NO
bradycardia,List drugs associated with bradycardia,irbesartan,YES
bradycardia,List drugs associated with bradycardia,chlorambucil,NO
hepatitis,Which drugs cause hepatitis?,pentamidine,YES
hepatitis,Which drugs cause hepatitis?,tranexamic,NO
hepatitis,What medications lead to hepatitis?,labetalol,YES
hepatitis,What medications lead to hepatitis?,metoclopramide,NO
hepatitis,List drugs associated with hepatitis,bortezomib,YES
hepatitis,List drugs associated with hepatitis,argatroban,NO
sinusitis,Which drugs cause sinusitis?,famp,YES
sinusitis,Which drugs cause sinusitis?,"1,25(oh)2d3",NO
sinusitis,What medications lead to sinusitis?,imatinib,YES
sinusitis,What medications lead to sinusitis?,tiaprofenic,NO
sinusitis,List drugs associated with sinusitis,metronidazole,YES
sinusitis,List drugs associated with sinusitis,fosfomycin,NO
epistaxis,Which drugs cause epistaxis?,desmopressin,YES
epistaxis,Which drugs cause epistaxis?,iron,NO
epistaxis,What medications lead to epistaxis?,salbutamol,YES
epistaxis,What medications lead to epistaxis?,ioxilan,NO
epistaxis,List drugs associated with epistaxis,acamprosate,YES
epistaxis,List drugs associated with epistaxis,atracurium,NO
loss of consciousness,Which drugs cause loss of consciousness?,capecitabine,YES
loss of consciousness,Which drugs cause loss of consciousness?,roflumilast,NO
loss of consciousness,What medications lead to loss of consciousness?,loperamide,YES
loss of consciousness,What medications lead to loss of consciousness?,oxprenolol,NO
loss of consciousness,List drugs associated with loss of consciousness,fosinopril,YES
loss of consciousness,List drugs associated with loss of consciousness,vacv,NO
hallucination,Which drugs cause hallucination?,carbamazepine,YES
hallucination,Which drugs cause hallucination?,etoposide,NO
hallucination,What medications lead to hallucination?,procaine,YES
hallucination,What medications lead to hallucination?,ioxilan,NO
hallucination,List drugs associated with hallucination,chloroquine,YES
hallucination,List drugs associated with hallucination,fenoprofen,NO
urinary tract infection,Which drugs cause urinary tract infection?,tadalafil,YES
urinary tract infection,Which drugs cause urinary tract infection?,metaproterenol,NO
urinary tract infection,What medications lead to urinary tract infection?,dabigatran,YES
urinary tract infection,What medications lead to urinary tract infection?,gold,NO
urinary tract infection,List drugs associated with urinary tract infection,clomipramine,YES
urinary tract infection,List drugs associated with urinary tract infection,tipranavir,NO
renal failure,Which drugs cause renal failure?,irinotecan,YES
renal failure,Which drugs cause renal failure?,rasagiline,NO
renal failure,What medications lead to renal failure?,lamotrigine,YES
renal failure,What medications lead to renal failure?,argatroban,NO
renal failure,List drugs associated with renal failure,erlotinib,YES
renal failure,List drugs associated with renal failure,oxymetholone,NO
neuropathy peripheral,Which drugs cause neuropathy peripheral?,lisinopril,YES
neuropathy peripheral,Which drugs cause neuropathy peripheral?,doripenem,NO
neuropathy peripheral,What medications lead to neuropathy peripheral?,thalidomide,YES
neuropathy peripheral,What medications lead to neuropathy peripheral?,nitric,NO
neuropathy peripheral,List drugs associated with neuropathy peripheral,rosuvastatin,YES
neuropathy peripheral,List drugs associated with neuropathy peripheral,tetrabenazine,NO
pneumonia,Which drugs cause pneumonia?,tizanidine,YES
pneumonia,Which drugs cause pneumonia?,methazolamide,NO
pneumonia,What medications lead to pneumonia?,rapamycin,YES
pneumonia,What medications lead to pneumonia?,tibolone,NO
pneumonia,List drugs associated with pneumonia,vinflunine,YES
pneumonia,List drugs associated with pneumonia,bisacodyl,NO
agranulocytosis,Which drugs cause agranulocytosis?,vinorelbine,YES
agranulocytosis,Which drugs cause agranulocytosis?,darifenacin,NO
agranulocytosis,What medications lead to agranulocytosis?,ntbc,YES
agranulocytosis,What medications lead to agranulocytosis?,pegaptanib,NO
agranulocytosis,List drugs associated with agranulocytosis,zidovudine/lamivudine,YES
agranulocytosis,List drugs associated with agranulocytosis,buspirone,NO
haematuria,Which drugs cause haematuria?,ifosfamide,YES
haematuria,Which drugs cause haematuria?,salmeterol,NO
haematuria,What medications lead to haematuria?,nifedipine,YES
haematuria,What medications lead to haematuria?,toremifene,NO
haematuria,List drugs associated with haematuria,5-azacytidine,YES
haematuria,List drugs associated with haematuria,ranitidine,NO
hepatobiliary disease,Which drugs cause hepatobiliary disease?,bisoprolol,YES
hepatobiliary disease,Which drugs cause hepatobiliary disease?,epitopic,NO
hepatobiliary disease,What medications lead to hepatobiliary disease?,acetaminophen,YES
hepatobiliary disease,What medications lead to hepatobiliary disease?,pge2,NO
hepatobiliary disease,List drugs associated with hepatobiliary disease,cisplatin,YES
hepatobiliary disease,List drugs associated with hepatobiliary disease,aztreonam,NO
hyperglycaemia,Which drugs cause hyperglycaemia?,bendamustine,YES
hyperglycaemia,Which drugs cause hyperglycaemia?,ezetimibe,NO
hyperglycaemia,What medications lead to hyperglycaemia?,varenicline,YES
hyperglycaemia,What medications lead to hyperglycaemia?,nitazoxanide,NO
hyperglycaemia,List drugs associated with hyperglycaemia,darunavir,YES
hyperglycaemia,List drugs associated with hyperglycaemia,agomelatine,NO
conjunctivitis,Which drugs cause conjunctivitis?,acebutolol,YES
conjunctivitis,Which drugs cause conjunctivitis?,histamine,NO
conjunctivitis,What medications lead to conjunctivitis?,salmon,YES
conjunctivitis,What medications lead to conjunctivitis?,nystatin,NO
conjunctivitis,List drugs associated with conjunctivitis,lansoprazole,YES
conjunctivitis,List drugs associated with conjunctivitis,naratriptan,NO
hypoaesthesia,Which drugs cause hypoaesthesia?,hydroxybutyrate,YES
hypoaesthesia,Which drugs cause hypoaesthesia?,quinidine,NO
hypoaesthesia,What medications lead to hypoaesthesia?,megestrol,YES
hypoaesthesia,What medications lead to hypoaesthesia?,silodosin,NO
hypoaesthesia,List drugs associated with hypoaesthesia,rofecoxib,YES
hypoaesthesia,List drugs associated with hypoaesthesia,atenolol,NO
myocardial infarction,Which drugs cause myocardial infarction?,imatinib,YES
myocardial infarction,Which drugs cause myocardial infarction?,rimonabant,NO
myocardial infarction,What medications lead to myocardial infarction?,ixabepilone,YES
myocardial infarction,What medications lead to myocardial infarction?,tolvaptan,NO
myocardial infarction,List drugs associated with myocardial infarction,pantoprazole,YES
myocardial infarction,List drugs associated with myocardial infarction,clarithromycin,NO
upper respiratory tract infection,Which drugs cause upper respiratory tract infection?,delavirdine,YES
upper respiratory tract infection,Which drugs cause upper respiratory tract infection?,edta,NO
upper respiratory tract infection,What medications lead to upper respiratory tract infection?,tramadol,YES
upper respiratory tract infection,What medications lead to upper respiratory tract infection?,carboplatin,NO
upper respiratory tract infection,List drugs associated with upper respiratory tract infection,ganciclovir,YES
upper respiratory tract infection,List drugs associated with upper respiratory tract infection,cisplatin,NO
jaundice,Which drugs cause jaundice?,amitriptyline,YES
jaundice,Which drugs cause jaundice?,hydroxyurea,NO
jaundice,What medications lead to jaundice?,promethazine,YES
jaundice,What medications lead to jaundice?,salmon,NO
jaundice,List drugs associated with jaundice,methyldopa,YES
jaundice,List drugs associated with jaundice,penicillin,NO
weight increased,Which drugs cause weight increased?,naltrexone,YES
weight increased,Which drugs cause weight increased?,tropisetron,NO
weight increased,What medications lead to weight increased?,su5416,YES
weight increased,What medications lead to weight increased?,clobetasol,NO
weight increased,List drugs associated with weight increased,nuvaring,YES
weight increased,List drugs associated with weight increased,terlipressin,NO
stevens-johnson syndrome,Which drugs cause stevens-johnson syndrome?,sulfadiazine,YES
stevens-johnson syndrome,Which drugs cause stevens-johnson syndrome?,lithium,NO
stevens-johnson syndrome,What medications lead to stevens-johnson syndrome?,ramipril,YES
stevens-johnson syndrome,What medications lead to stevens-johnson syndrome?,edta,NO
stevens-johnson syndrome,List drugs associated with stevens-johnson syndrome,zidovudine,YES
stevens-johnson syndrome,List drugs associated with stevens-johnson syndrome,megestrol,NO
neutropenia,Which drugs cause neutropenia?,axitinib,YES
neutropenia,Which drugs cause neutropenia?,protriptyline,NO
neutropenia,What medications lead to neutropenia?,paliperidone,YES
neutropenia,What medications lead to neutropenia?,bpti,NO
neutropenia,List drugs associated with neutropenia,bendamustine,YES
neutropenia,List drugs associated with neutropenia,chloroprocaine,NO
depression,Which drugs cause depression?,anthracycline,YES
depression,Which drugs cause depression?,sulfamethoxazole,NO
depression,What medications lead to depression?,zaleplon,YES
depression,What medications lead to depression?,triamcinolone,NO
depression,List drugs associated with depression,bisoprolol,YES
depression,List drugs associated with depression,cyclophosphamide,NO
pancreatitis,Which drugs cause pancreatitis?,amphotericin,YES
pancreatitis,Which drugs cause pancreatitis?,8-mop,NO
pancreatitis,What medications lead to pancreatitis?,glutamine,YES
pancreatitis,What medications lead to pancreatitis?,azelastine,NO
pancreatitis,List drugs associated with pancreatitis,ketoprofen,YES
pancreatitis,List drugs associated with pancreatitis,epinephrine,NO
weight decreased,Which drugs cause weight decreased?,apas,YES
weight decreased,Which drugs cause weight decreased?,esmolol,NO
weight decreased,What medications lead to weight decreased?,paliperidone,YES
weight decreased,What medications lead to weight decreased?,quinidine,NO
weight decreased,List drugs associated with weight decreased,amisulpride,YES
weight decreased,List drugs associated with weight decreased,sulindac,NO
pollakiuria,Which drugs cause pollakiuria?,doxepin,YES
pollakiuria,Which drugs cause pollakiuria?,terbinafine,NO
pollakiuria,What medications lead to pollakiuria?,amitriptyline,YES
pollakiuria,What medications lead to pollakiuria?,hydroxychloroquine,NO
pollakiuria,List drugs associated with pollakiuria,temozolomide,YES
pollakiuria,List drugs associated with pollakiuria,clofarabine,NO
pancytopenia,Which drugs cause pancytopenia?,ge-132,YES
pancytopenia,Which drugs cause pancytopenia?,cinoxacin,NO
pancytopenia,What medications lead to pancytopenia?,ge-132,YES
pancytopenia,What medications lead to pancytopenia?,prednisolone,NO
pancytopenia,List drugs associated with pancytopenia,thiotepa,YES
pancytopenia,List drugs associated with pancytopenia,clozapine,NO
visual impairment,Which drugs cause visual impairment?,pegaptanib,YES
visual impairment,Which drugs cause visual impairment?,halcinonide,NO
visual impairment,What medications lead to visual impairment?,temazepam,YES
visual impairment,What medications lead to visual impairment?,dicyclomine,NO
visual impairment,List drugs associated with visual impairment,labetalol,YES
visual impairment,List drugs associated with visual impairment,org,NO
anorexia,Which drugs cause anorexia?,halofantrine,YES
anorexia,Which drugs cause anorexia?,carboprost,NO
anorexia,What medications lead to anorexia?,imatinib,YES
anorexia,What medications lead to anorexia?,lorazepam,NO
anorexia,List drugs associated with anorexia,azithromycin,YES
anorexia,List drugs associated with anorexia,methyl,NO
dysuria,Which drugs cause dysuria?,sulindac,YES
dysuria,Which drugs cause dysuria?,thymidine,NO
dysuria,What medications lead to dysuria?,diethylpropion,YES
dysuria,What medications lead to dysuria?,lidocaine,NO
dysuria,List drugs associated with dysuria,doxazosin,YES
dysuria,List drugs associated with dysuria,thiothixene,NO
bronchitis,Which drugs cause bronchitis?,fluvoxamine,YES
bronchitis,Which drugs cause bronchitis?,dexmedetomidine,NO
bronchitis,What medications lead to bronchitis?,fentanyl,YES
bronchitis,What medications lead to bronchitis?,mivacurium,NO
bronchitis,List drugs associated with bronchitis,insulin,YES
bronchitis,List drugs associated with bronchitis,dfmo,NO
eosinophilia,Which drugs cause eosinophilia?,demeclocycline,YES
eosinophilia,Which drugs cause eosinophilia?,thyroxine,NO
eosinophilia,What medications lead to eosinophilia?,leuprorelin,YES
eosinophilia,What medications lead to eosinophilia?,milnacipran,NO
eosinophilia,List drugs associated with eosinophilia,pergolide,YES
eosinophilia,List drugs associated with eosinophilia,atovaquone,NO
angina pectoris,Which drugs cause angina pectoris?,trandolapril,YES
angina pectoris,Which drugs cause angina pectoris?,oxaprozin,NO
angina pectoris,What medications lead to angina pectoris?,pentostatin,YES
angina pectoris,What medications lead to angina pectoris?,histamine,NO
angina pectoris,List drugs associated with angina pectoris,pilocarpine,YES
angina pectoris,List drugs associated with angina pectoris,minocycline,NO
erectile dysfunction,Which drugs cause erectile dysfunction?,maprotiline,YES
erectile dysfunction,Which drugs cause erectile dysfunction?,amphotericin,NO
erectile dysfunction,What medications lead to erectile dysfunction?,kaluril,YES
erectile dysfunction,What medications lead to erectile dysfunction?,fenoldopam,NO
erectile dysfunction,List drugs associated with erectile dysfunction,paroxetine,YES
erectile dysfunction,List drugs associated with erectile dysfunction,sodium,NO
bronchospasm,Which drugs cause bronchospasm?,alfentanil,YES
bronchospasm,Which drugs cause bronchospasm?,epitopic,NO
bronchospasm,What medications lead to bronchospasm?,histamine,YES
bronchospasm,What medications lead to bronchospasm?,diphenhydramine,NO
bronchospasm,List drugs associated with bronchospasm,cevimeline,YES
bronchospasm,List drugs associated with bronchospasm,kanamycin,NO
unspecified disorder of skin and subcutaneous tissue,Which drugs cause unspecified disorder of skin and subcutaneous tissue?,ibuprofen,YES
unspecified disorder of skin and subcutaneous tissue,Which drugs cause unspecified disorder of skin and subcutaneous tissue?,lithium,NO
unspecified disorder of skin and subcutaneous tissue,What medications lead to unspecified disorder of skin and subcutaneous tissue?,vilazodone,YES
unspecified disorder of skin and subcutaneous tissue,What medications lead to unspecified disorder of skin and subcutaneous tissue?,desflurane,NO
unspecified disorder of skin and subcutaneous tissue,List drugs associated with unspecified disorder of skin and subcutaneous tissue,vinflunine,YES
unspecified disorder of skin and subcutaneous tissue,List drugs associated with unspecified disorder of skin and subcutaneous tissue,n-methylscopolamine,NO
aspartate aminotransferase increased,Which drugs cause aspartate aminotransferase increased?,topiramate,YES
aspartate aminotransferase increased,Which drugs cause aspartate aminotransferase increased?,ustekinumab,NO
aspartate aminotransferase increased,What medications lead to aspartate aminotransferase increased?,moxifloxacin,YES
aspartate aminotransferase increased,What medications lead to aspartate aminotransferase increased?,glycerol,NO
aspartate aminotransferase increased,List drugs associated with aspartate aminotransferase increased,modafinil,YES
aspartate aminotransferase increased,List drugs associated with aspartate aminotransferase increased,fesoterodine,NO
influenza,Which drugs cause influenza?,rescinnamine,YES
influenza,Which drugs cause influenza?,colestipol,NO
influenza,What medications lead to influenza?,rifapentine,YES
influenza,What medications lead to influenza?,isosorbide-5-mononitrate,NO
influenza,List drugs associated with influenza,naltrexone,YES
influenza,List drugs associated with influenza,fotemustine,NO
alanine aminotransferase increased,Which drugs cause alanine aminotransferase increased?,dolasetron,YES
alanine aminotransferase increased,Which drugs cause alanine aminotransferase increased?,leucovorin,NO
alanine aminotransferase increased,What medications lead to alanine aminotransferase increased?,topiramate,YES
alanine aminotransferase increased,What medications lead to alanine aminotransferase increased?,alfentanil,NO
alanine aminotransferase increased,List drugs associated with alanine aminotransferase increased,cefaclor,YES
alanine aminotransferase increased,List drugs associated with alanine aminotransferase increased,alendronate,NO
photosensitivity reaction,Which drugs cause photosensitivity reaction?,5-fu,YES
photosensitivity reaction,Which drugs cause photosensitivity reaction?,clomiphene,NO
photosensitivity reaction,What medications lead to photosensitivity reaction?,paroxetine,YES
photosensitivity reaction,What medications lead to photosensitivity reaction?,lithium,NO
photosensitivity reaction,List drugs associated with photosensitivity reaction,estradiol,YES
photosensitivity reaction,List drugs associated with photosensitivity reaction,diazoxide,NO
abdominal distension,Which drugs cause abdominal distension?,cetirizine,YES
abdominal distension,Which drugs cause abdominal distension?,leucovorin,NO
abdominal distension,What medications lead to abdominal distension?,flurbiprofen,YES
abdominal distension,What medications lead to abdominal distension?,gadobutrol,NO
abdominal distension,List drugs associated with abdominal distension,furosemide,YES
abdominal distension,List drugs associated with abdominal distension,pentostatin,NO
nasopharyngitis,Which drugs cause nasopharyngitis?,nicotine,YES
nasopharyngitis,Which drugs cause nasopharyngitis?,toremifene,NO
nasopharyngitis,What medications lead to nasopharyngitis?,progesterone,YES
nasopharyngitis,What medications lead to nasopharyngitis?,desflurane,NO
nasopharyngitis,List drugs associated with nasopharyngitis,lenalidomide,YES
nasopharyngitis,List drugs associated with nasopharyngitis,chloroquine,NO
toxic epidermal necrolysis,Which drugs cause toxic epidermal necrolysis?,foscarnet,YES
toxic epidermal necrolysis,Which drugs cause toxic epidermal necrolysis?,indinavir,NO
toxic epidermal necrolysis,What medications lead to toxic epidermal necrolysis?,cephem,YES
toxic epidermal necrolysis,What medications lead to toxic epidermal necrolysis?,roxithromycin,NO
toxic epidermal necrolysis,List drugs associated with toxic epidermal necrolysis,mephenytoin,YES
toxic epidermal necrolysis,List drugs associated with toxic epidermal necrolysis,guanfacine,NO
asthma,Which drugs cause asthma?,sparfloxacin,YES
asthma,Which drugs cause asthma?,budesonide,NO
asthma,What medications lead to asthma?,tizanidine,YES
asthma,What medications lead to asthma?,dfmo,NO
asthma,List drugs associated with asthma,tramadol,YES
asthma,List drugs associated with asthma,alprazolam,NO
dysphagia,Which drugs cause dysphagia?,doxycycline,YES
dysphagia,Which drugs cause dysphagia?,diethylpropion,NO
dysphagia,What medications lead to dysphagia?,anastrozole,YES
dysphagia,What medications lead to dysphagia?,alfentanil,NO
dysphagia,List drugs associated with dysphagia,bromocriptine,YES
dysphagia,List drugs associated with dysphagia,carbenicillin,NO
hypokalaemia,Which drugs cause hypokalaemia?,fe(iii,YES
hypokalaemia,Which drugs cause hypokalaemia?,k779,NO
hypokalaemia,What medications lead to hypokalaemia?,linezolid,YES
hypokalaemia,What medications lead to hypokalaemia?,nedocromil,NO
hypokalaemia,List drugs associated with hypokalaemia,paclitaxel,YES
hypokalaemia,List drugs associated with hypokalaemia,ustekinumab,NO
dry skin,Which drugs cause dry skin?,cabozantinib,YES
dry skin,Which drugs cause dry skin?,pegaptanib,NO
dry skin,What medications lead to dry skin?,prednisolone,YES
dry skin,What medications lead to dry skin?,nalidixic,NO
dry skin,List drugs associated with dry skin,quetiapine,YES
dry skin,List drugs associated with dry skin,argatroban,NO
muscular weakness,Which drugs cause muscular weakness?,buspirone,YES
muscular weakness,Which drugs cause muscular weakness?,gadofosveset,NO
muscular weakness,What medications lead to muscular weakness?,naproxen,YES
muscular weakness,What medications lead to muscular weakness?,ofatumumab,NO
muscular weakness,List drugs associated with muscular weakness,vinflunine,YES
muscular weakness,List drugs associated with muscular weakness,esmolol,NO
gastritis,Which drugs cause gastritis?,k779,YES
gastritis,Which drugs cause gastritis?,atomoxetine,NO
gastritis,What medications lead to gastritis?,zopiclone,YES
gastritis,What medications lead to gastritis?,trimethoprim-sulfamethoxazole,NO
gastritis,List drugs associated with gastritis,ambrisentan,YES
gastritis,List drugs associated with gastritis,ioversol,NO
breast disorder,Which drugs cause breast disorder?,iloperidone,YES
breast disorder,Which drugs cause breast disorder?,phentermine,NO
breast disorder,What medications lead to breast disorder?,implanon,YES
breast disorder,What medications lead to breast disorder?,nesiritide,NO
breast disorder,List drugs associated with breast disorder,rotigotine,YES
breast disorder,List drugs associated with breast disorder,glycine,NO
anaphylactoid reaction,Which drugs cause anaphylactoid reaction?,heparin,YES
anaphylactoid reaction,Which drugs cause anaphylactoid reaction?,irbesartan,NO
anaphylactoid reaction,What medications lead to anaphylactoid reaction?,fentanyl,YES
anaphylactoid reaction,What medications lead to anaphylactoid reaction?,bezafibrate,NO
anaphylactoid reaction,List drugs associated with anaphylactoid reaction,monamine,YES
anaphylactoid reaction,List drugs associated with anaphylactoid reaction,unoprostone,NO
orthostatic hypotension,Which drugs cause orthostatic hypotension?,codeine,YES
orthostatic hypotension,Which drugs cause orthostatic hypotension?,acetazolamide,NO
orthostatic hypotension,What medications lead to orthostatic hypotension?,dapagliflozin,YES
orthostatic hypotension,What medications lead to orthostatic hypotension?,deferoxamine,NO
orthostatic hypotension,List drugs associated with orthostatic hypotension,phenelzine,YES
orthostatic hypotension,List drugs associated with orthostatic hypotension,oxaliplatin,NO
abdominal discomfort,Which drugs cause abdominal discomfort?,novolog,YES
abdominal discomfort,Which drugs cause abdominal discomfort?,desogestrel,NO
abdominal discomfort,What medications lead to abdominal discomfort?,adenosine,YES
abdominal discomfort,What medications lead to abdominal discomfort?,lmwh,NO
abdominal discomfort,List drugs associated with abdominal discomfort,ipratropium,YES
abdominal discomfort,List drugs associated with abdominal discomfort,miglustat,NO
ill-defined disorder,Which drugs cause ill-defined disorder?,acetohydroxamic,YES
ill-defined disorder,Which drugs cause ill-defined disorder?,neostigmine,NO
ill-defined disorder,What medications lead to ill-defined disorder?,raltitrexed,YES
ill-defined disorder,What medications lead to ill-defined disorder?,gefitinib,NO
ill-defined disorder,List drugs associated with ill-defined disorder,progesterone,YES
ill-defined disorder,List drugs associated with ill-defined disorder,fotemustine,NO
tension,Which drugs cause tension?,buspirone,YES
tension,Which drugs cause tension?,dexmedetomidine,NO
tension,What medications lead to tension?,phenytoin,YES
tension,What medications lead to tension?,glycine,NO
tension,List drugs associated with tension,ketoprofen,YES
tension,List drugs associated with tension,flucloxacillin,NO
dehydration,Which drugs cause dehydration?,frovatriptan,YES
dehydration,Which drugs cause dehydration?,vitrum,NO
dehydration,What medications lead to dehydration?,ertapenem,YES
dehydration,What medications lead to dehydration?,procainamide,NO
dehydration,List drugs associated with dehydration,udca,YES
dehydration,List drugs associated with dehydration,nimodipine,NO
urinary retention,Which drugs cause urinary retention?,ephedrine,YES
urinary retention,Which drugs cause urinary retention?,propoxyphene,NO
urinary retention,What medications lead to urinary retention?,lomefloxacin,YES
urinary retention,What medications lead to urinary retention?,hydroxyurea,NO
urinary retention,List drugs associated with urinary retention,revasc,YES
urinary retention,List drugs associated with urinary retention,fosinopril,NO
cardiac arrest,Which drugs cause cardiac arrest?,lamotrigine,YES
cardiac arrest,Which drugs cause cardiac arrest?,5-azacytidine,NO
cardiac arrest,What medications lead to cardiac arrest?,chlorpromazine,YES
cardiac arrest,What medications lead to cardiac arrest?,erlotinib,NO
cardiac arrest,List drugs associated with cardiac arrest,irinotecan,YES
cardiac arrest,List drugs associated with cardiac arrest,bendamustine,NO
face oedema,Which drugs cause face oedema?,forteo,YES
face oedema,Which drugs cause face oedema?,entecavir,NO
face oedema,What medications lead to face oedema?,ropinirole,YES
face oedema,What medications lead to face oedema?,galantamine,NO
face oedema,List drugs associated with face oedema,cabozantinib,YES
face oedema,List drugs associated with face oedema,dacarbazine,NO
ataxia,Which drugs cause ataxia?,clobazam,YES
ataxia,Which drugs cause ataxia?,fondaparinux,NO
ataxia,What medications lead to ataxia?,perphenazine,YES
ataxia,What medications lead to ataxia?,dicloxacillin,NO
ataxia,List drugs associated with ataxia,eprosartan,YES
ataxia,List drugs associated with ataxia,podophyllotoxin,NO
pain in extremity,Which drugs cause pain in extremity?,bosentan,YES
pain in extremity,Which drugs cause pain in extremity?,milnacipran,NO
pain in extremity,What medications lead to pain in extremity?,glycopyrrolate,YES
pain in extremity,What medications lead to pain in extremity?,rotigotine,NO
pain in extremity,List drugs associated with pain in extremity,naltrexone,YES
pain in extremity,List drugs associated with pain in extremity,delavirdine,NO
liver function test abnormal,Which drugs cause liver function test abnormal?,milrinone,YES
liver function test abnormal,Which drugs cause liver function test abnormal?,molindone,NO
liver function test abnormal,What medications lead to liver function test abnormal?,desipramine,YES
liver function test abnormal,What medications lead to liver function test abnormal?,tetracycline,NO
liver function test abnormal,List drugs associated with liver function test abnormal,carbimazole,YES
liver function test abnormal,List drugs associated with liver function test abnormal,paliperidone,NO
hypoglycaemia,Which drugs cause hypoglycaemia?,venlafaxine,YES
hypoglycaemia,Which drugs cause hypoglycaemia?,fluconazole,NO
hypoglycaemia,What medications lead to hypoglycaemia?,doxorubicin,YES
hypoglycaemia,What medications lead to hypoglycaemia?,betaine,NO
hypoglycaemia,List drugs associated with hypoglycaemia,fluocinolone,YES
hypoglycaemia,List drugs associated with hypoglycaemia,iopromide,NO
migraine,Which drugs cause migraine?,moclobemide,YES
migraine,Which drugs cause migraine?,nitroglycerin,NO
migraine,What medications lead to migraine?,carvedilol,YES
migraine,What medications lead to migraine?,vancocine,NO
migraine,List drugs associated with migraine,fluvoxamine,YES
migraine,List drugs associated with migraine,carbinoxamine,NO
mood swings,Which drugs cause mood swings?,tolcapone,YES
mood swings,Which drugs cause mood swings?,salmeterol,NO
mood swings,What medications lead to mood swings?,bupropion,YES
mood swings,What medications lead to mood swings?,roxithromycin,NO
mood swings,List drugs associated with mood swings,doxorubicin,YES
mood swings,List drugs associated with mood swings,clarithromycin,NO
arthritis,Which drugs cause arthritis?,perindoprilat,YES
arthritis,Which drugs cause arthritis?,ioversol,NO
arthritis,What medications lead to arthritis?,ramipril,YES
arthritis,What medications lead to arthritis?,felodipine,NO
arthritis,List drugs associated with arthritis,hydroxybutyrate,YES
arthritis,List drugs associated with arthritis,hexamethylmelamine,NO
abdominal pain upper,Which drugs cause abdominal pain upper?,lercanidipine,YES
abdominal pain upper,Which drugs cause abdominal pain upper?,triptorelin,NO
abdominal pain upper,What medications lead to abdominal pain upper?,trospium,YES
abdominal pain upper,What medications lead to abdominal pain upper?,paricalcitol,NO
abdominal pain upper,List drugs associated with abdominal pain upper,ofatumumab,YES
abdominal pain upper,List drugs associated with abdominal pain upper,rifampicin,NO
psychotic disorder,Which drugs cause psychotic disorder?,hydralazine,YES
psychotic disorder,Which drugs cause psychotic disorder?,degarelix,NO
psychotic disorder,What medications lead to psychotic disorder?,chloroquine,YES
psychotic disorder,What medications lead to psychotic disorder?,succinylcholine,NO
psychotic disorder,List drugs associated with psychotic disorder,desipramine,YES
psychotic disorder,List drugs associated with psychotic disorder,glibenclamide,NO
irritability,Which drugs cause irritability?,bupropion,YES
irritability,Which drugs cause irritability?,hydroflumethiazide,NO
irritability,What medications lead to irritability?,vilazodone,YES
irritability,What medications lead to irritability?,loteprednol,NO
irritability,List drugs associated with irritability,scopolamine,YES
irritability,List drugs associated with irritability,deferiprone,NO
cerebrovascular accident,Which drugs cause cerebrovascular accident?,trazodone,YES
cerebrovascular accident,Which drugs cause cerebrovascular accident?,deferiprone,NO
cerebrovascular accident,What medications lead to cerebrovascular accident?,epinephrine,YES
cerebrovascular accident,What medications lead to cerebrovascular accident?,trovafloxacin,NO
cerebrovascular accident,List drugs associated with cerebrovascular accident,saquinavir,YES
cerebrovascular accident,List drugs associated with cerebrovascular accident,5-fluorocytosine,NO
hot flush,Which drugs cause hot flush?,nitroglycerin,YES
hot flush,Which drugs cause hot flush?,amd3100,NO
hot flush,What medications lead to hot flush?,naltrexone,YES
hot flush,What medications lead to hot flush?,disopyramide,NO
hot flush,List drugs associated with hot flush,estramustine,YES
hot flush,List drugs associated with hot flush,tropicamide,NO
hyponatraemia,Which drugs cause hyponatraemia?,aripiprazole,YES
hyponatraemia,Which drugs cause hyponatraemia?,rizatriptan,NO
hyponatraemia,What medications lead to hyponatraemia?,dabrafenib,YES
hyponatraemia,What medications lead to hyponatraemia?,ritonavir,NO
hyponatraemia,List drugs associated with hyponatraemia,cidofovir,YES
hyponatraemia,List drugs associated with hyponatraemia,terconazole,NO
lethargy,Which drugs cause lethargy?,bupropion,YES
lethargy,Which drugs cause lethargy?,glycine,NO
lethargy,What medications lead to lethargy?,trimethoprim,YES
lethargy,What medications lead to lethargy?,diatrizoate,NO
lethargy,List drugs associated with lethargy,domperidone,YES
lethargy,List drugs associated with lethargy,nelfinavir,NO
increased appetite,Which drugs cause increased appetite?,testosterone,YES
increased appetite,Which drugs cause increased appetite?,leucovorin,NO
increased appetite,What medications lead to increased appetite?,acitretin,YES
increased appetite,What medications lead to increased appetite?,indomethacin,NO
increased appetite,List drugs associated with increased appetite,lanreotide,YES
increased appetite,List drugs associated with increased appetite,cefotaxime,NO
cardiac failure,Which drugs cause cardiac failure?,celiprolol,YES
cardiac failure,Which drugs cause cardiac failure?,oxazepam,NO
cardiac failure,What medications lead to cardiac failure?,ketorolac,YES
cardiac failure,What medications lead to cardiac failure?,doripenem,NO
cardiac failure,List drugs associated with cardiac failure,cilostazol,YES
cardiac failure,List drugs associated with cardiac failure,valrubicin,NO
gastrointestinal haemorrhage,Which drugs cause gastrointestinal haemorrhage?,leuprorelin,YES
gastrointestinal haemorrhage,Which drugs cause gastrointestinal haemorrhage?,perphenazine,NO
